id,BeatsPerMinute
524164,119.005135
524165,119.13326
524166,119.02939
524167,119.273415
524168,119.33047
524169,119.38302
524170,118.851715
524171,118.73353
524172,119.03248
524173,118.82967
524174,119.0056
524175,118.35839
524176,118.93819
524177,118.58189
524178,118.6365
524179,119.28561
524180,119.2451
524181,119.36929
524182,118.36326
524183,118.78817
524184,121.39107
524185,119.132774
524186,119.519875
524187,118.94394
524188,119.04209
524189,118.82148
524190,118.87601
524191,118.136734
524192,119.490265
524193,119.112114
524194,118.40781
524195,118.51973
524196,119.71825
524197,118.55909
524198,119.53267
524199,119.30177
524200,118.96312
524201,118.61452
524202,119.14522
524203,119.071205
524204,119.08544
524205,118.94876
524206,119.43901
524207,119.295715
524208,119.13244
524209,118.62427
524210,118.42205
524211,118.9569
524212,119.372
524213,119.01616
524214,120.75951
524215,118.76105
524216,118.741585
524217,120.920105
524218,118.41684
524219,118.60009
524220,119.23677
524221,118.737915
524222,119.499794
524223,122.948235
524224,119.06777
524225,119.05475
524226,118.67274
524227,119.18009
524228,119.22856
524229,118.813286
524230,119.3167
524231,119.05178
524232,119.03569
524233,119.01064
524234,119.37447
524235,118.742584
524236,119.029976
524237,119.464
524238,119.15315
524239,118.884155
524240,119.28317
524241,118.9887
524242,119.101036
524243,118.6215
524244,118.44825
524245,119.081
524246,119.20477
524247,119.432594
524248,119.03415
524249,119.061584
524250,118.76417
524251,118.88049
524252,119.28658
524253,118.95542
524254,118.20984
524255,119.062584
524256,118.93845
524257,119.416534
524258,119.5112
524259,118.85796
524260,119.098366
524261,119.38478
524262,118.67579
524263,118.89471
524264,118.94622
524265,118.809395
524266,119.80407
524267,118.80505
524268,119.39008
524269,119.02838
524270,119.21845
524271,119.28477
524272,119.31
524273,119.0704
524274,119.14286
524275,118.698975
524276,118.822945
524277,120.93277
524278,119.32087
524279,118.74763
524280,118.784874
524281,118.99942
524282,119.049324
524283,118.921844
524284,119.15544
524285,119.01884
524286,119.191605
524287,119.03884
524288,118.56521
524289,118.85276
524290,118.95553
524291,118.80977
524292,119.28238
524293,119.540306
524294,119.05539
524295,119.21324
524296,119.0802
524297,118.82105
524298,118.58563
524299,119.1931
524300,119.453896
524301,119.15059
524302,119.37991
524303,118.50091
524304,119.533356
524305,119.255554
524306,118.85231
524307,119.25236
524308,119.26948
524309,119.43264
524310,119.01975
524311,119.04037
524312,118.80991
524313,119.300354
524314,119.1476
524315,119.14077
524316,118.87145
524317,118.92997
524318,119.15798
524319,119.339874
524320,118.82139
524321,118.88514
524322,118.77118
524323,119.20873
524324,119.19406
524325,118.81097
524326,118.75579
524327,119.153
524328,119.11101
524329,119.10629
524330,119.06402
524331,119.812485
524332,119.30667
524333,119.12761
524334,119.007675
524335,119.322586
524336,119.44443
524337,118.704384
524338,119.49936
524339,118.66755
524340,118.64685
524341,119.26477
524342,119.27353
524343,119.47286
524344,119.375404
524345,119.14227
524346,118.787155
524347,119.83742
524348,118.89262
524349,118.379326
